MarketSegmentID;SecurityID;ExecID;ApplSeqNum;PartitionID;CompletionIndicator;TradeCondition;AggressorSide;LastQty;LastPx;RestingHiddenQty;RestingCxlQty;RequestTime;AggressorTime;TransactTime;EOBICaptTime;ETICaptTime
52978;2505071;1534402945950156765;213959;58;1;255;1;27;9432000000;;0;1534402945950138807;1534402945950149701;1534402945950188415;1534402945950189959;1534402945950137690
52978;2505071;1534402945961058919;214007;58;1;255;2;27;9390000000;;0;1534402945961043871;1534402945961053946;1534402945961085691;1534402945961087105;1534402945961042762
52915;2505008;1534402946002287992;44314;50;1;255;2;100;7736000000;;0;1534402946002266839;1534402946002284710;1534402946002325731;1534402946002327288;1534402946002265772
57618;2570805;1534402946093519597;304265;80;1;255;1;1310;1964000000;;0;1534402946093434586;1534402946093506542;1534402946093590648;1534402946093592240;
52807;2504900;1534402946180140690;36895;53;1;255;1;100;8180000000;;0;1534402946180119723;1534402946180135796;1534402946180175519;1534402946180177164;1534402946180118574
52915;2505008;1534402946186250821;44335;50;0;255;2;100;7734000000;;0;1534402946186238095;1534402946186247407;1534402946186292367;1534402946186293711;1534402946186237018
52915;2505008;1534402946186314119;44337;50;0;255;2;96;7734000000;;0;1534402946186297915;1534402946186310430;1534402946186350884;1534402946186352370;1534402946186296866
52807;2504900;1534402946212662486;36907;53;1;255;2;100;8176000000;;0;1534402946212646357;1534402946212658589;1534402946212700206;1534402946212701626;1534402946212645208
52807;2504900;1534402946214998060;36931;53;1;255;1;27;8176000000;;0;1534402946214927107;1534402946214979914;1534402946215034774;1534402946215036396;1534402946214925945
52807;2504900;1534402946215041452;36933;53;0;255;1;73;8177000000;;0;1534402946214993075;1534402946215002464;1534402946215079304;1534402946215080934;1534402946214991928
52807;2504900;1534402946698197603;36965;53;0;255;1;341;8179000000;;0;1534402946698173889;1534402946698185041;1534402946698236264;1534402946698237737;1534402946698172730
